,y_true,y_pred,precision,coverage,a0,a1,a2,a3,a4,a5,a6
32,0,0,0.5287425149700599,0.0017,rainfall > 124.27,N > 84.25,temperature <= 25.60,humidity > 80.47,28.00 < P <= 51.00,K <= 49.00,5.97 < ph <= 6.43
33,0,0,0.5829858215179317,0.0044,rainfall > 124.27,N > 84.25,temperature <= 22.77,28.00 < P <= 68.00,K <= 49.00,80.47 < humidity <= 89.95,
34,0,0,0.46749777382012464,0.0095,rainfall > 124.27,N > 84.25,80.47 < humidity <= 89.95,K <= 49.00,temperature <= 28.56,28.00 < P <= 68.00,ph <= 6.43
35,0,20,0.549317943336831,0.0041,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,80.47 < humidity <= 89.95,51.00 < P <= 68.00,22.77 < temperature <= 28.56,ph <= 6.43
36,0,0,0.4423897581792319,0.0032,rainfall > 124.27,N > 84.25,80.47 < humidity <= 89.95,K <= 49.00,28.00 < P <= 68.00,temperature <= 28.56,ph <= 5.97
37,0,0,0.5696784073506891,0.0011,rainfall > 124.27,N > 84.25,temperature <= 25.60,28.00 < P <= 51.00,K <= 49.00,80.47 < humidity <= 89.95,ph <= 5.97
38,0,0,0.5165262475696695,0.01,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 51.00,K <= 49.00,60.26 < humidity <= 89.95,
39,0,0,0.4864864864864865,0.0067,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 5.97
40,0,0,0.4147130153597413,0.0323,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,20.00 < K <= 49.00,28.00 < P <= 51.00,
41,0,0,0.37449392712550605,0.0642,rainfall > 124.27,N > 37.00,temperature <= 28.56,60.26 < humidity <= 89.95,28.00 < P <= 68.00,K <= 49.00,ph <= 6.92
42,0,0,0.4261576971214018,0.0097,rainfall > 124.27,37.00 < N <= 84.25,temperature <= 25.60,60.26 < humidity <= 80.47,28.00 < P <= 68.00,32.00 < K <= 49.00,ph > 6.43
43,0,0,0.4503311258278146,0.0122,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 6.43
44,0,0,0.4206815511163337,0.0598,rainfall > 124.27,N > 37.00,28.00 < P <= 68.00,temperature <= 28.56,20.00 < K <= 49.00,80.47 < humidity <= 89.95,
45,0,20,0.4989532449406839,0.004,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,80.47 < humidity <= 89.95,28.00 < P <= 68.00,22.77 < temperature <= 25.60,ph <= 6.43
46,0,0,0.44135429262394194,0.0134,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 6.43
47,0,0,0.4431664411366712,0.0331,rainfall > 124.27,N > 37.00,temperature <= 25.60,K <= 49.00,28.00 < P <= 51.00,80.47 < humidity <= 89.95,
48,0,0,0.5159851301115241,0.0054,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph > 6.92
49,0,0,0.39081885856079407,0.0714,rainfall > 124.27,N > 37.00,temperature <= 25.60,humidity > 60.26,28.00 < P <= 68.00,K <= 49.00,
50,0,0,0.45214770158251694,0.0102,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 6.43
51,0,0,0.6070640176600441,0.0169,rainfall > 124.27,N > 37.00,temperature <= 22.77,60.26 < humidity <= 89.95,28.00 < P <= 68.00,32.00 < K <= 49.00,
52,0,20,0.5504761904761905,0.0047,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,80.47 < humidity <= 89.95,51.00 < P <= 68.00,temperature > 22.77,ph > 6.43
53,0,0,0.4783599088838269,0.0085,rainfall > 124.27,N > 37.00,temperature <= 22.77,60.26 < humidity <= 89.95,20.00 < K <= 49.00,28.00 < P <= 68.00,ph <= 6.43
54,0,0,0.44314868804664725,0.0036,rainfall > 124.27,N > 84.25,ph <= 5.97,temperature <= 28.56,28.00 < P <= 68.00,80.47 < humidity <= 89.95,K <= 49.00
55,0,0,0.42233972240581624,0.0326,rainfall > 124.27,N > 37.00,temperature <= 25.60,28.00 < P <= 51.00,80.47 < humidity <= 89.95,20.00 < K <= 49.00,
56,0,0,0.42627737226277373,0.0619,rainfall > 124.27,N > 37.00,temperature <= 28.56,28.00 < P <= 68.00,32.00 < K <= 49.00,80.47 < humidity <= 89.95,
57,0,0,0.5328376703841388,0.0005,rainfall > 124.27,N > 84.25,temperature <= 25.60,humidity > 80.47,K <= 49.00,28.00 < P <= 51.00,ph <= 5.97
58,0,0,0.4964594807238395,0.0096,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 51.00,K <= 49.00,80.47 < humidity <= 89.95,
59,0,0,0.4889515749882464,0.0068,rainfall > 124.27,N > 84.25,temperature <= 22.77,humidity > 60.26,28.00 < P <= 68.00,K <= 49.00,
60,0,0,0.49696356275303644,0.0108,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 51.00,K <= 49.00,60.26 < humidity <= 89.95,
61,0,0,0.3780392156862745,0.0142,rainfall > 124.27,N > 37.00,ph <= 5.97,temperature <= 28.56,60.26 < humidity <= 89.95,28.00 < P <= 68.00,20.00 < K <= 49.00
62,0,0,0.5855588526211671,0.0009,rainfall > 124.27,N > 84.25,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 68.00,K <= 49.00,ph > 6.92
63,0,0,0.5109993714644877,0.0098,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,
64,0,0,0.49463327370304117,0.0008,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 5.97
65,0,20,0.4897959183673469,0.0054,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,80.47 < humidity <= 89.95,22.77 < temperature <= 28.56,28.00 < P <= 68.00,6.43 < ph <= 6.92
66,0,0,0.5103957075788061,0.0021,rainfall > 124.27,N > 84.25,temperature <= 22.77,28.00 < P <= 68.00,humidity > 60.26,K <= 49.00,ph <= 6.43
67,0,0,0.3942446043165468,0.0968,rainfall > 124.27,N > 37.00,28.00 < P <= 68.00,32.00 < K <= 49.00,temperature <= 28.56,humidity > 60.26,
68,0,0,0.471900089206066,0.0008,rainfall > 124.27,37.00 < N <= 84.25,temperature <= 25.60,28.00 < P <= 51.00,60.26 < humidity <= 80.47,32.00 < K <= 49.00,ph <= 5.97
69,0,0,0.49002493765586036,0.0067,rainfall > 124.27,N > 84.25,temperature <= 25.60,80.47 < humidity <= 89.95,K <= 49.00,28.00 < P <= 68.00,ph <= 6.43
70,0,0,0.40966719492868464,0.0702,rainfall > 124.27,N > 37.00,temperature <= 25.60,60.26 < humidity <= 89.95,20.00 < K <= 49.00,28.00 < P <= 68.00,
71,0,0,0.5113871635610766,0.0112,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 51.00,K <= 49.00,60.26 < humidity <= 89.95,
72,0,0,0.4237047551454933,0.0285,rainfall > 124.27,N > 37.00,temperature <= 25.60,28.00 < P <= 51.00,K <= 49.00,80.47 < humidity <= 89.95,
73,0,0,0.5061652281134402,0.0085,rainfall > 124.27,N > 37.00,temperature <= 22.77,K <= 49.00,28.00 < P <= 51.00,80.47 < humidity <= 89.95,
74,0,0,0.44020797227036396,0.0596,rainfall > 124.27,N > 37.00,temperature <= 28.56,32.00 < K <= 49.00,80.47 < humidity <= 89.95,28.00 < P <= 68.00,
75,0,0,0.6031413612565445,0.0033,rainfall > 124.27,N > 84.25,temperature <= 22.77,humidity > 80.47,28.00 < P <= 51.00,K <= 49.00,
76,0,0,0.38814814814814813,0.0377,rainfall > 124.27,N > 37.00,28.00 < P <= 51.00,80.47 < humidity <= 89.95,temperature <= 28.56,K <= 49.00,
77,0,0,0.4339378238341969,0.0187,rainfall > 124.27,N > 37.00,temperature <= 25.60,60.26 < humidity <= 89.95,K <= 49.00,28.00 < P <= 51.00,ph <= 6.43
78,0,0,0.42251461988304095,0.0179,rainfall > 124.27,37.00 < N <= 84.25,ph <= 6.43,temperature <= 28.56,32.00 < K <= 49.00,60.26 < humidity <= 89.95,28.00 < P <= 51.00
79,0,0,0.4982290436835891,0.0104,rainfall > 124.27,N > 37.00,temperature <= 22.77,60.26 < humidity <= 89.95,28.00 < P <= 51.00,20.00 < K <= 49.00,
80,0,20,0.4435389988358556,0.0045,rainfall > 124.27,N > 37.00,32.00 < K <= 49.00,60.26 < humidity <= 89.95,51.00 < P <= 68.00,25.60 < temperature <= 28.56,ph <= 6.43
81,0,0,0.42996742671009774,0.0443,rainfall > 124.27,N > 37.00,temperature <= 25.60,28.00 < P <= 51.00,20.00 < K <= 49.00,60.26 < humidity <= 89.95,
82,0,0,0.41935483870967744,0.0285,rainfall > 124.27,N > 37.00,ph <= 6.43,28.00 < P <= 68.00,temperature <= 28.56,80.47 < humidity <= 89.95,32.00 < K <= 49.00
83,0,20,0.45367717287488063,0.0431,rainfall > 124.27,37.00 < N <= 84.25,32.00 < K <= 49.00,60.26 < humidity <= 89.95,22.77 < temperature <= 28.56,P <= 68.00,ph > 5.97
84,0,0,0.4061855670103093,0.0705,rainfall > 124.27,N > 37.00,temperature <= 25.60,28.00 < P <= 68.00,60.26 < humidity <= 89.95,20.00 < K <= 49.00,
85,0,0,0.43780068728522337,0.0066,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 68.00,20.00 < K <= 49.00,ph <= 6.43
86,0,0,0.4252763094666026,0.0305,rainfall > 124.27,N > 37.00,temperature <= 25.60,K <= 49.00,28.00 < P <= 51.00,80.47 < humidity <= 89.95,
87,0,20,0.4324127906976744,0.0308,rainfall > 124.27,N > 37.00,32.00 < K <= 49.00,22.77 < temperature <= 28.56,80.47 < humidity <= 89.95,28.00 < P <= 68.00,ph <= 6.92
88,0,0,0.5389830508474577,0.0126,rainfall > 124.27,N > 37.00,temperature <= 25.60,K <= 49.00,humidity > 60.26,28.00 < P <= 68.00,ph <= 5.97
89,0,0,0.6005899705014749,0.0029,rainfall > 124.27,N > 84.25,temperature <= 22.77,humidity > 80.47,K <= 49.00,28.00 < P <= 51.00,
90,0,0,0.38525345622119817,0.1046,rainfall > 124.27,N > 37.00,temperature <= 28.56,humidity > 60.26,K <= 49.00,28.00 < P <= 68.00,
91,0,0,0.54047976011994,0.0039,rainfall > 124.27,N > 84.25,humidity > 80.47,temperature <= 25.60,K <= 49.00,28.00 < P <= 51.00,ph > 6.92
92,0,0,0.40222575516693165,0.0034,rainfall > 124.27,37.00 < N <= 84.25,28.00 < P <= 51.00,temperature <= 28.56,60.26 < humidity <= 80.47,20.00 < K <= 49.00,ph <= 6.43
93,0,0,0.38804347826086955,0.0139,rainfall > 124.27,N > 37.00,80.47 < humidity <= 89.95,temperature <= 28.56,28.00 < P <= 51.00,K <= 49.00,ph > 6.92
94,0,0,0.4984251968503937,0.0095,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,20.00 < K <= 49.00,
95,0,20,0.46556291390728477,0.0064,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,80.47 < humidity <= 89.95,28.00 < P <= 68.00,6.43 < ph <= 6.92,
96,0,0,0.6111560226354082,0.0029,rainfall > 124.27,N > 84.25,temperature <= 22.77,humidity > 80.47,28.00 < P <= 51.00,K <= 49.00,ph > 6.43
97,0,0,0.437984496124031,0.0111,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,20.00 < K <= 49.00,28.00 < P <= 68.00,
98,0,20,0.45976253298153036,0.0388,rainfall > 124.27,N > 37.00,32.00 < K <= 49.00,80.47 < humidity <= 89.95,28.00 < P <= 68.00,22.77 < temperature <= 28.56,ph > 5.97
99,0,0,0.42183098591549295,0.0063,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,K <= 49.00,28.00 < P <= 51.00,ph <= 5.97
100,1,1,0.7043895747599451,0.0028,K <= 32.00,N > 37.00,ph <= 5.97,51.00 < P <= 68.00,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,temperature <= 28.56
101,1,1,0.7448096885813149,0.0091,N > 37.00,K <= 32.00,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,60.26 < humidity <= 80.47,22.77 < temperature <= 28.56,
102,1,1,0.6732081911262798,0.0036,K <= 32.00,37.00 < N <= 84.25,60.26 < humidity <= 80.47,64.55 < rainfall <= 94.87,28.00 < P <= 51.00,6.43 < ph <= 6.92,temperature <= 25.60
103,1,1,0.432967032967033,0.0125,37.00 < N <= 84.25,20.00 < K <= 32.00,temperature <= 25.60,rainfall <= 124.27,28.00 < P <= 68.00,ph <= 6.92,humidity <= 80.47
104,1,1,0.6697312588401697,0.0051,64.55 < rainfall <= 124.27,N > 37.00,K <= 32.00,temperature <= 22.77,60.26 < humidity <= 80.47,28.00 < P <= 68.00,ph <= 5.97
105,1,1,0.5475482912332839,0.0018,N > 37.00,K <= 20.00,94.87 < rainfall <= 124.27,humidity <= 80.47,28.00 < P <= 68.00,5.97 < ph <= 6.43,temperature <= 28.56
106,1,1,0.8992481203007519,0.0005,N > 84.25,K <= 20.00,60.26 < humidity <= 80.47,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,ph <= 6.43,25.60 < temperature <= 28.56
107,1,1,0.7616707616707616,0.0007,N > 84.25,K <= 20.00,51.00 < P <= 68.00,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,ph <= 5.97,22.77 < temperature <= 28.56
108,1,1,0.6751435602953241,0.0012,K <= 20.00,37.00 < N <= 84.25,ph <= 5.97,60.26 < humidity <= 80.47,64.55 < rainfall <= 94.87,28.00 < P <= 51.00,temperature <= 22.77
109,1,1,0.6388499298737728,0.0116,37.00 < N <= 84.25,K <= 32.00,temperature <= 25.60,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,28.00 < P <= 68.00,ph <= 6.43
110,1,1,0.6551490514905149,0.0123,N > 37.00,K <= 32.00,60.26 < humidity <= 80.47,64.55 < rainfall <= 124.27,28.00 < P <= 68.00,ph <= 5.97,temperature <= 25.60
111,1,1,0.7545219638242894,0.0066,20.00 < K <= 32.00,N > 84.25,P > 28.00,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,temperature > 22.77,ph <= 6.92
112,1,1,0.44302325581395346,0.0068,37.00 < N <= 84.25,K <= 20.00,51.00 < P <= 68.00,rainfall <= 124.27,temperature <= 25.60,humidity <= 80.47,
113,1,1,0.6191335740072202,0.0183,N > 84.25,K <= 20.00,64.55 < rainfall <= 124.27,P > 28.00,60.26 < humidity <= 80.47,,
114,1,1,0.661641541038526,0.0008,20.00 < K <= 32.00,N > 37.00,ph <= 5.97,51.00 < P <= 68.00,64.55 < rainfall <= 124.27,22.77 < temperature <= 28.56,humidity <= 89.95
115,1,1,0.525879917184265,0.0195,K <= 32.00,N > 37.00,P > 51.00,ph <= 6.43,,,
116,1,1,0.7580645161290323,0.0065,N > 37.00,60.26 < humidity <= 80.47,94.87 < rainfall <= 124.27,K <= 32.00,28.00 < P <= 68.00,22.77 < temperature <= 28.56,ph > 5.97
117,1,1,0.6931637519872814,0.0157,37.00 < N <= 84.25,K <= 32.00,temperature <= 25.60,64.55 < rainfall <= 124.27,28.00 < P <= 68.00,60.26 < humidity <= 80.47,
118,1,1,0.584478021978022,0.0089,K <= 32.00,N > 37.00,P > 51.00,ph <= 6.43,64.55 < rainfall <= 124.27,22.77 < temperature <= 28.56,humidity <= 89.95
119,1,1,0.6785185185185185,0.0013,N > 37.00,K <= 20.00,64.55 < rainfall <= 124.27,51.00 < P <= 68.00,60.26 < humidity <= 80.47,temperature <= 22.77,5.97 < ph <= 6.43
120,1,1,0.7630890052356021,0.0022,20.00 < K <= 32.00,N > 37.00,51.00 < P <= 68.00,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,22.77 < temperature <= 28.56,5.97 < ph <= 6.92
121,1,19,0.9361702127659575,0.0015,N > 84.25,K <= 20.00,P <= 51.00,rainfall <= 94.87,humidity > 60.26,temperature <= 28.56,ph <= 5.97
122,1,1,0.7394094993581515,0.0042,20.00 < K <= 32.00,N > 37.00,51.00 < P <= 68.00,64.55 < rainfall <= 124.27,ph <= 6.92,60.26 < humidity <= 80.47,temperature <= 25.60
123,1,1,0.613747954173486,0.0016,37.00 < N <= 84.25,20.00 < K <= 32.00,temperature <= 22.77,64.55 < rainfall <= 94.87,28.00 < P <= 51.00,ph <= 6.43,humidity <= 89.95
124,1,19,0.9490909090909091,0.0082,N > 84.25,K <= 20.00,rainfall <= 94.87,P <= 51.00,60.26 < humidity <= 89.95,22.77 < temperature <= 28.56,ph <= 6.92
125,1,1,0.7521551724137931,0.004,N > 37.00,K <= 20.00,60.26 < humidity <= 80.47,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,22.77 < temperature <= 28.56,ph > 5.97
126,1,1,0.7619433198380566,0.0084,N > 84.25,K <= 20.00,94.87 < rainfall <= 124.27,P > 28.00,22.77 < temperature <= 28.56,humidity <= 89.95,
127,1,1,0.7400487408610885,0.004,N > 37.00,K <= 20.00,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,60.26 < humidity <= 80.47,temperature <= 28.56,ph <= 6.43
128,1,1,0.699625468164794,0.0041,N > 37.00,20.00 < K <= 32.00,60.26 < humidity <= 80.47,64.55 < rainfall <= 124.27,28.00 < P <= 68.00,ph <= 5.97,temperature <= 25.60
129,1,1,0.9615384615384616,0.001,N > 84.25,K <= 20.00,51.00 < P <= 68.00,94.87 < rainfall <= 124.27,60.26 < humidity <= 80.47,temperature > 25.60,
130,1,1,0.7306610407876231,0.005,N > 84.25,20.00 < K <= 32.00,28.00 < P <= 68.00,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,ph <= 6.43,
131,1,1,0.6076696165191741,0.0025,K <= 20.00,37.00 < N <= 84.25,64.55 < rainfall <= 94.87,humidity <= 80.47,6.43 < ph <= 6.92,28.00 < P <= 51.00,temperature <= 22.77
132,1,1,0.5810895428929242,0.0043,rainfall <= 124.27,N > 37.00,20.00 < K <= 32.00,51.00 < P <= 68.00,temperature <= 22.77,60.26 < humidity <= 80.47,
133,1,1,0.537590113285273,0.0213,37.00 < N <= 84.25,K <= 32.00,temperature <= 25.60,28.00 < P <= 68.00,rainfall <= 124.27,ph <= 6.92,60.26 < humidity <= 80.47
134,1,1,0.7191358024691358,0.0107,20.00 < K <= 32.00,N > 37.00,64.55 < rainfall <= 124.27,28.00 < P <= 68.00,60.26 < humidity <= 80.47,temperature <= 25.60,5.97 < ph <= 6.92
135,1,1,0.9387755102040817,0.0009,N > 84.25,20.00 < K <= 32.00,60.26 < humidity <= 80.47,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,25.60 < temperature <= 28.56,ph > 6.43
136,1,1,0.5259621258399512,0.0005,K <= 20.00,N > 37.00,ph <= 5.97,51.00 < P <= 68.00,rainfall <= 124.27,temperature <= 22.77,60.26 < humidity <= 80.47
137,1,1,0.8571428571428571,0.001,N > 84.25,20.00 < K <= 32.00,51.00 < P <= 68.00,94.87 < rainfall <= 124.27,5.97 < ph <= 6.92,,
138,1,1,0.639526791927627,0.0061,N > 84.25,K <= 20.00,64.55 < rainfall <= 124.27,P > 28.00,60.26 < humidity <= 80.47,ph <= 6.43,temperature > 22.77
139,1,1,0.7221074380165289,0.0048,K <= 32.00,N > 37.00,51.00 < P <= 68.00,5.97 < ph <= 6.43,64.55 < rainfall <= 124.27,60.26 < humidity <= 80.47,temperature <= 22.77
140,1,19,0.8980044345898004,0.0271,N > 84.25,K <= 20.00,rainfall <= 94.87,P <= 68.00,humidity > 60.26,temperature <= 25.60,ph > 5.97
141,1,1,0.6755020080321286,0.0055,20.00 < K <= 32.00,N > 37.00,ph <= 5.97,64.55 < rainfall <= 124.27,28.00 < P <= 68.00,60.26 < humidity <= 80.47,temperature <= 25.60
142,1,1,0.6686303387334315,0.0016,K <= 20.00,37.00 < N <= 84.25,64.55 < rainfall <= 94.87,28.00 < P <= 51.00,60.26 < humidity <= 80.47,temperature <= 22.77,6.43 < ph <= 6.92
143,1,1,0.8382789317507419,0.001,N > 84.25,K <= 32.00,51.00 < P <= 68.00,94.87 < rainfall <= 124.27,22.77 < temperature <= 28.56,5.97 < ph <= 6.92,humidity <= 89.95
144,1,1,0.7552703941338221,0.0003,N > 37.00,20.00 < K <= 32.00,temperature <= 22.77,60.26 < humidity <= 80.47,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,ph > 5.97
145,1,1,0.7057793345008757,0.0046,N > 84.25,20.00 < K <= 32.00,60.26 < humidity <= 80.47,64.55 < rainfall <= 124.27,28.00 < P <= 68.00,temperature <= 28.56,6.43 < ph <= 6.92
146,1,1,0.6904761904761905,0.0037,N > 37.00,K <= 20.00,64.55 < rainfall <= 124.27,51.00 < P <= 68.00,22.77 < temperature <= 28.56,60.26 < humidity <= 80.47,ph <= 6.43
147,1,1,0.6510607168983175,0.0039,K <= 20.00,N > 37.00,51.00 < P <= 68.00,94.87 < rainfall <= 124.27,humidity <= 89.95,ph > 6.43,temperature <= 28.56
148,1,1,0.7335984095427436,0.0009,N > 37.00,20.00 < K <= 32.00,60.26 < humidity <= 80.47,94.87 < rainfall <= 124.27,28.00 < P <= 68.00,22.77 < temperature <= 28.56,5.97 < ph <= 6.43
149,1,1,0.7097826086956521,0.0015,K <= 32.00,37.00 < N <= 84.25,64.55 < rainfall <= 94.87,6.43 < ph <= 6.92,28.00 < P <= 51.00,60.26 < humidity <= 80.47,temperature <= 22.77
