,y_true,y_pred,precision,coverage,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
78,0,1,0.9487179487179487,0,HbA1c_level > 6.20,age > 59.00,heart_disease = 1.00,hypertension = 1.00,blood_glucose_level > 100.00,bmi > 29.52,gender = 1.00,heart_disease = 1.00,smoking_history = 4.00,hypertension = 1.00,gender = 1.00,smoking_history = 4.00
79,0,0,0.9935064935064936,0.5093,blood_glucose_level <= 140.00,,,,,,,,,,,
80,0,0,1,0.2978,HbA1c_level <= 4.80,,,,,,,,,,,
81,0,0,0.9784172661870504,0.7588,age <= 59.00,,,,,,,,,,,
82,0,0,0.9887640449438202,0.8055,blood_glucose_level <= 159.00,,,,,,,,,,,
83,0,0,1,0.3071,HbA1c_level <= 4.80,,,,,,,,,,,
84,0,0,1,0.8073,blood_glucose_level <= 159.00,,,,,,,,,,,
85,0,0,0.9831460674157303,0.7877,HbA1c_level <= 6.20,,,,,,,,,,,
86,0,0,1,0.302,HbA1c_level <= 4.80,,,,,,,,,,,
87,0,0,0.9836065573770492,0.7903,HbA1c_level <= 6.20,,,,,,,,,,,
88,0,0,1,0.814,blood_glucose_level <= 159.00,,,,,,,,,,,
89,0,0,1,0.7855,HbA1c_level <= 6.20,,,,,,,,,,,
90,0,0,0.9957446808510638,0.3015,HbA1c_level <= 4.80,,,,,,,,,,,
91,0,0,0.9831460674157303,0.7444,bmi <= 29.52,,,,,,,,,,,
92,1,1,0.3952861952861953,0.0178,HbA1c_level > 6.20,age > 59.00,blood_glucose_level > 140.00,bmi > 23.52,gender = 1.00,gender = 1.00,,,,,,
93,0,0,1,0.2982,HbA1c_level <= 4.80,,,,,,,,,,,
94,0,0,0.9872611464968153,0.5132,blood_glucose_level <= 140.00,,,,,,,,,,,
95,0,0,1,0.7869,HbA1c_level <= 6.20,,,,,,,,,,,
96,1,1,0.471019809244314,0.0073,HbA1c_level > 6.20,age > 59.00,blood_glucose_level > 140.00,bmi > 29.52,gender = 1.00,gender = 1.00,,,,,,
97,0,0,0.9935064935064936,0.5447,HbA1c_level <= 5.80,,,,,,,,,,,
98,0,0,0.994475138121547,0.8182,blood_glucose_level <= 159.00,,,,,,,,,,,
99,0,0,0.9929577464788732,0.5017,age <= 42.00,,,,,,,,,,,
100,0,0,0.9879518072289156,0.4919,age <= 42.00,,,,,,,,,,,
101,1,0,0.9936305732484076,0.5332,HbA1c_level <= 5.80,,,,,,,,,,,
102,0,0,0.9900497512437811,0.3009,HbA1c_level <= 4.80,,,,,,,,,,,
103,0,0,1,0.8131,blood_glucose_level <= 159.00,,,,,,,,,,,
104,0,0,0.9833333333333333,0.7934,HbA1c_level <= 6.20,,,,,,,,,,,
105,0,0,0.9803921568627451,0.5336,HbA1c_level <= 5.80,,,,,,,,,,,
106,0,0,0.9933774834437086,0.5021,age <= 42.00,,,,,,,,,,,
107,0,0,1,0.8134,blood_glucose_level <= 159.00,,,,,,,,,,,
108,0,0,1,0.2853,blood_glucose_level <= 100.00,,,,,,,,,,,
109,0,0,0.9943820224719101,0.8149,blood_glucose_level <= 159.00,,,,,,,,,,,
110,0,0,0.976878612716763,0.7503,bmi <= 29.52,,,,,,,,,,,
111,0,0,0.9932885906040269,0.5088,age <= 42.00,,,,,,,,,,,
112,1,1,0.7168857431749242,0.0002,blood_glucose_level > 159.00,HbA1c_level > 6.20,age > 59.00,bmi > 27.32,smoking_history = 4.00,gender = 1.00,gender = 1.00,,,,,
113,0,0,0.9692832764505119,0.9263,hypertension = 0.00,,,,,,,,,,,
114,0,0,0.9801324503311258,0.5014,age <= 42.00,,,,,,,,,,,
115,0,0,1,0.814,blood_glucose_level <= 159.00,,,,,,,,,,,
116,0,0,1,0.3036,HbA1c_level <= 4.80,,,,,,,,,,,
117,0,0,0.9836956521739131,0.8146,blood_glucose_level <= 159.00,,,,,,,,,,,
118,1,1,0.6111898016997167,0.0011,HbA1c_level > 6.20,blood_glucose_level > 159.00,age > 59.00,bmi > 23.52,gender = 1.00,smoking_history = 2.00,gender = 1.00,smoking_history = 2.00,,,,
119,0,0,0.9887005649717514,0.7907,HbA1c_level <= 6.20,,,,,,,,,,,
120,0,0,0.9933774834437086,0.5496,HbA1c_level <= 5.80,,,,,,,,,,,
121,0,0,0.9660493827160493,0.3623,smoking_history = 1.00,,,,,,,,,,,
122,0,0,1,0.2857,blood_glucose_level <= 100.00,,,,,,,,,,,
123,0,0,0.9868421052631579,0.5187,blood_glucose_level <= 140.00,,,,,,,,,,,
124,0,0,1,0.3002,HbA1c_level <= 4.80,,,,,,,,,,,
125,0,0,0.9921875,0.3097,HbA1c_level <= 4.80,,,,,,,,,,,
126,0,0,0.9693486590038314,0.6615,bmi <= 27.32,,,,,,,,,,,
127,0,0,1,0.2832,blood_glucose_level <= 100.00,,,,,,,,,,,
128,0,0,1,0.2781,blood_glucose_level <= 100.00,,,,,,,,,,,
129,0,0,0.9900990099009901,1,,,,,,,,,,,,
130,0,0,1,0.3078,HbA1c_level <= 4.80,,,,,,,,,,,
131,0,0,1,0.3028,HbA1c_level <= 4.80,,,,,,,,,,,
132,0,0,0.9969040247678018,0.3066,HbA1c_level <= 4.80,,,,,,,,,,,
133,0,0,1,0.8089,blood_glucose_level <= 159.00,,,,,,,,,,,
134,0,0,0.9877551020408163,0.511,age <= 42.00,,,,,,,,,,,
135,1,0,0.9798387096774194,0.5108,blood_glucose_level <= 140.00,,,,,,,,,,,
136,0,0,0.9770114942528736,0.7872,HbA1c_level <= 6.20,,,,,,,,,,,
137,0,0,0.9900990099009901,1,,,,,,,,,,,,
138,0,0,0.9838709677419355,0.8098,blood_glucose_level <= 159.00,,,,,,,,,,,
139,0,0,1,0.2833,blood_glucose_level <= 100.00,,,,,,,,,,,
140,0,0,1,0.5241,blood_glucose_level <= 140.00,,,,,,,,,,,
141,0,0,1,0.5163,blood_glucose_level <= 140.00,,,,,,,,,,,
142,0,0,0.993421052631579,0.5188,blood_glucose_level <= 140.00,,,,,,,,,,,
143,0,0,0.9960629921259843,0.5375,HbA1c_level <= 5.80,,,,,,,,,,,
144,1,0,0.9776536312849162,0.8117,blood_glucose_level <= 159.00,,,,,,,,,,,
145,0,0,0.9824561403508771,0.7439,bmi <= 29.52,,,,,,,,,,,
146,0,0,1,0.5095,blood_glucose_level <= 140.00,,,,,,,,,,,
147,0,0,1,0.3077,HbA1c_level <= 4.80,,,,,,,,,,,
148,0,0,1,0.5059,blood_glucose_level <= 140.00,,,,,,,,,,,
149,0,0,0.9971751412429378,0.5419,HbA1c_level <= 5.80,,,,,,,,,,,
150,0,0,1,0.5161,blood_glucose_level <= 140.00,,,,,,,,,,,
151,0,0,1,0.8173,blood_glucose_level <= 159.00,,,,,,,,,,,
152,0,0,0.9921259842519685,0.5379,HbA1c_level <= 5.80,,,,,,,,,,,
153,0,0,0.9829545454545454,0.752,bmi <= 29.52,,,,,,,,,,,
154,0,0,0.9871244635193133,0.2762,blood_glucose_level <= 100.00,,,,,,,,,,,
155,0,0,0.9722222222222222,0.7898,HbA1c_level <= 6.20,,,,,,,,,,,
156,1,1,0.5988654781199352,0.0014,HbA1c_level > 6.20,blood_glucose_level > 159.00,bmi > 27.32,age > 42.00,gender = 1.00,smoking_history = 3.00,smoking_history = 3.00,gender = 1.00,,,,
157,0,0,1,0.2969,HbA1c_level <= 4.80,,,,,,,,,,,
158,1,1,0.7595573440643864,0.002,blood_glucose_level > 159.00,HbA1c_level > 6.20,age > 59.00,bmi > 29.52,gender = 1.00,smoking_history = 0.00,gender = 1.00,smoking_history = 0.00,,,,
159,0,0,0.9934640522875817,0.5367,HbA1c_level <= 5.80,,,,,,,,,,,
160,0,0,0.9940119760479041,0.535,HbA1c_level <= 5.80,,,,,,,,,,,
161,0,0,0.9867549668874173,0.5039,age <= 42.00,,,,,,,,,,,
162,0,0,1,0.5052,blood_glucose_level <= 140.00,,,,,,,,,,,
163,0,0,0.9884393063583815,0.7592,bmi <= 29.52,,,,,,,,,,,
164,0,0,0.9828080229226361,0.5064,blood_glucose_level <= 140.00,,,,,,,,,,,
165,0,0,0.9924242424242424,0.3063,HbA1c_level <= 4.80,,,,,,,,,,,
166,0,0,1,0.8169,blood_glucose_level <= 159.00,,,,,,,,,,,
167,0,0,1,0.2986,HbA1c_level <= 4.80,,,,,,,,,,,
168,0,0,0.9933774834437086,0.5332,HbA1c_level <= 5.80,,,,,,,,,,,
169,0,0,0.9922480620155039,0.2786,blood_glucose_level <= 100.00,,,,,,,,,,,
170,0,0,1,0.2938,HbA1c_level <= 4.80,,,,,,,,,,,
171,0,0,1,0.2955,HbA1c_level <= 4.80,,,,,,,,,,,
172,0,0,1,0.302,HbA1c_level <= 4.80,,,,,,,,,,,
173,0,0,0.9939759036144579,0.6646,bmi <= 27.32,,,,,,,,,,,
174,0,0,1,0.2774,blood_glucose_level <= 100.00,,,,,,,,,,,
175,0,0,0.9935064935064936,0.5424,HbA1c_level <= 5.80,,,,,,,,,,,
176,0,0,0.972972972972973,0.7592,age <= 59.00,,,,,,,,,,,
177,0,0,0.9931972789115646,0.5392,HbA1c_level <= 5.80,,,,,,,,,,,
178,0,0,0.9866666666666667,0.5115,blood_glucose_level <= 140.00,,,,,,,,,,,
179,0,0,1,0.5387,HbA1c_level <= 5.80,,,,,,,,,,,
180,0,0,0.9910714285714286,0.2494,age <= 23.00,,,,,,,,,,,
181,0,0,0.9766081871345029,0.7576,age <= 59.00,,,,,,,,,,,
182,0,0,0.9832402234636871,0.8134,blood_glucose_level <= 159.00,,,,,,,,,,,
183,0,0,0.9950248756218906,0.2814,blood_glucose_level <= 100.00,,,,,,,,,,,
184,0,0,1,0.7906,HbA1c_level <= 6.20,,,,,,,,,,,
185,0,0,1,0.7915,HbA1c_level <= 6.20,,,,,,,,,,,
186,0,0,1,0.2958,HbA1c_level <= 4.80,,,,,,,,,,,
187,0,0,0.9698275862068966,0.3559,smoking_history = 0.00,,,,,,,,,,,
188,0,0,0.9824561403508771,0.6607,bmi <= 27.32,,,,,,,,,,,
189,0,0,1,0.3031,HbA1c_level <= 4.80,,,,,,,,,,,
190,0,0,0.9751243781094527,0.2512,age <= 23.00,,,,,,,,,,,
191,0,0,0.992831541218638,0.8135,blood_glucose_level <= 159.00,,,,,,,,,,,
192,0,0,0.9831460674157303,0.7469,bmi <= 29.52,,,,,,,,,,,
193,0,0,1,0.93,hypertension = 0.00,,,,,,,,,,,
194,0,0,0.9940828402366864,0.6613,bmi <= 27.32,,,,,,,,,,,
195,0,0,0.9936305732484076,0.4992,age <= 42.00,,,,,,,,,,,
196,0,0,1,0.3058,HbA1c_level <= 4.80,,,,,,,,,,,
197,0,0,1,0.8119,blood_glucose_level <= 159.00,,,,,,,,,,,
198,0,0,0.9850746268656716,0.5172,blood_glucose_level <= 140.00,,,,,,,,,,,
199,1,1,0.8060879368658399,0.0018,HbA1c_level > 6.20,blood_glucose_level > 159.00,hypertension = 1.00,age > 42.00,bmi > 29.52,hypertension = 1.00,smoking_history = 0.00,,,,,
200,0,0,0.991869918699187,0.2602,age <= 23.00,,,,,,,,,,,
201,0,0,0.9900497512437811,0.2754,blood_glucose_level <= 100.00,,,,,,,,,,,
202,0,0,0.9865771812080537,0.5124,age <= 42.00,,,,,,,,,,,
203,0,0,1,0.3037,HbA1c_level <= 4.80,,,,,,,,,,,
204,0,0,1,0.5046,blood_glucose_level <= 140.00,,,,,,,,,,,
205,1,0,1,0.8174,blood_glucose_level <= 159.00,,,,,,,,,,,
206,0,0,1,0.3031,HbA1c_level <= 4.80,,,,,,,,,,,
207,0,0,1,0.5413,HbA1c_level <= 5.80,,,,,,,,,,,
208,0,0,1,0.3035,HbA1c_level <= 4.80,,,,,,,,,,,
209,0,0,1,0.7931,HbA1c_level <= 6.20,,,,,,,,,,,
210,0,0,0.9956896551724138,0.2987,HbA1c_level <= 4.80,,,,,,,,,,,
211,0,0,0.9894366197183099,0.8154,blood_glucose_level <= 159.00,,,,,,,,,,,
212,0,0,0.9830508474576272,0.7511,age <= 59.00,,,,,,,,,,,
213,0,0,0.9772727272727273,0.7631,age <= 59.00,,,,,,,,,,,
214,0,0,0.9834254143646409,0.7547,bmi <= 29.52,,,,,,,,,,,
215,0,0,0.9833333333333333,0.8168,blood_glucose_level <= 159.00,,,,,,,,,,,
216,0,0,1,0.2762,blood_glucose_level <= 100.00,,,,,,,,,,,
217,0,0,1,0.5035,age <= 42.00,,,,,,,,,,,
218,0,0,0.9900990099009901,1,,,,,,,,,,,,
219,0,0,1,0.3019,HbA1c_level <= 4.80,,,,,,,,,,,
220,0,0,0.993103448275862,0.5392,HbA1c_level <= 5.80,,,,,,,,,,,
221,0,0,0.9865771812080537,0.5034,age <= 42.00,,,,,,,,,,,
222,0,0,1,0.8144,blood_glucose_level <= 159.00,,,,,,,,,,,
223,0,0,0.9805194805194806,0.5062,blood_glucose_level <= 140.00,,,,,,,,,,,
224,0,0,1,0.7849,HbA1c_level <= 6.20,,,,,,,,,,,
225,0,0,1,0.3025,HbA1c_level <= 4.80,,,,,,,,,,,
226,0,0,0.9876543209876543,0.662,bmi <= 27.32,,,,,,,,,,,
227,0,0,0.9836734693877551,0.5069,age <= 42.00,,,,,,,,,,,
228,1,1,0.9300291545189504,0.0005,blood_glucose_level > 159.00,HbA1c_level > 6.20,age > 59.00,heart_disease = 1.00,bmi > 29.52,heart_disease = 1.00,smoking_history = 2.00,smoking_history = 2.00,,,,
229,0,0,0.9936305732484076,0.5432,HbA1c_level <= 5.80,,,,,,,,,,,
230,0,0,1,0.3078,HbA1c_level <= 4.80,,,,,,,,,,,
231,0,0,0.9920634920634921,0.276,blood_glucose_level <= 100.00,,,,,,,,,,,
232,0,0,0.9781420765027322,0.8143,blood_glucose_level <= 159.00,,,,,,,,,,,
233,1,0,0.9695817490494296,0.6651,bmi <= 27.32,,,,,,,,,,,
234,0,0,0.9725274725274725,0.8119,blood_glucose_level <= 159.00,,,,,,,,,,,
235,0,0,1,0.2842,blood_glucose_level <= 100.00,,,,,,,,,,,
236,0,0,1,0.928,hypertension = 0.00,,,,,,,,,,,
237,0,0,1,0.8149,blood_glucose_level <= 159.00,,,,,,,,,,,
238,0,0,0.978021978021978,0.786,HbA1c_level <= 6.20,,,,,,,,,,,
239,0,0,0.9872340425531915,0.3586,smoking_history = 1.00,,,,,,,,,,,
240,0,0,0.9900990099009901,1,,,,,,,,,,,,
241,0,0,0.987012987012987,0.2824,blood_glucose_level <= 100.00,,,,,,,,,,,
242,0,0,1,0.3062,HbA1c_level <= 4.80,,,,,,,,,,,
243,0,0,1,0.3006,HbA1c_level <= 4.80,,,,,,,,,,,
244,0,0,1,0.3011,HbA1c_level <= 4.80,,,,,,,,,,,
245,0,0,0.9941860465116279,0.7853,HbA1c_level <= 6.20,,,,,,,,,,,
246,0,0,1,0.5167,blood_glucose_level <= 140.00,,,,,,,,,,,
247,0,0,0.9836956521739131,0.8122,blood_glucose_level <= 159.00,,,,,,,,,,,
248,0,0,1,0.5237,blood_glucose_level <= 140.00,,,,,,,,,,,
249,0,0,1,0.8155,blood_glucose_level <= 159.00,,,,,,,,,,,
250,0,0,0.9717314487632509,0.7894,HbA1c_level <= 6.20,,,,,,,,,,,
251,0,0,0.9968847352024922,0.3042,HbA1c_level <= 4.80,,,,,,,,,,,
252,0,0,0.9811320754716981,0.5369,HbA1c_level <= 5.80,,,,,,,,,,,
253,0,0,1,0.8124,blood_glucose_level <= 159.00,,,,,,,,,,,
254,0,0,1,0.28,blood_glucose_level <= 100.00,,,,,,,,,,,
255,0,0,0.9908256880733946,0.275,blood_glucose_level <= 100.00,,,,,,,,,,,
256,0,0,1,0.3064,HbA1c_level <= 4.80,,,,,,,,,,,
257,0,0,0.9917355371900827,0.2558,age <= 23.00,,,,,,,,,,,
258,0,0,1,0.294,HbA1c_level <= 4.80,,,,,,,,,,,
259,0,0,0.9788359788359788,0.8168,blood_glucose_level <= 159.00,,,,,,,,,,,
260,0,0,0.9920634920634921,0.2821,blood_glucose_level <= 100.00,,,,,,,,,,,
261,0,0,0.9891304347826086,0.7793,HbA1c_level <= 6.20,,,,,,,,,,,
262,0,0,0.9900497512437811,0.5094,blood_glucose_level <= 140.00,,,,,,,,,,,
263,0,0,0.9779005524861878,0.7917,HbA1c_level <= 6.20,,,,,,,,,,,
264,0,0,0.994413407821229,0.7853,HbA1c_level <= 6.20,,,,,,,,,,,
265,0,0,1,0.7864,HbA1c_level <= 6.20,,,,,,,,,,,
266,1,1,0.9164835164835164,0.0012,blood_glucose_level > 159.00,HbA1c_level > 6.20,age > 59.00,hypertension = 1.00,bmi > 29.52,smoking_history = 0.00,smoking_history = 0.00,hypertension = 1.00,,,,
267,0,0,1,0.5082,blood_glucose_level <= 140.00,,,,,,,,,,,
268,1,1,0.44602128737962493,0.0108,blood_glucose_level > 159.00,bmi > 29.52,HbA1c_level > 5.80,age > 42.00,gender = 1.00,,,,,,,
269,0,0,0.9921875,0.3099,HbA1c_level <= 4.80,,,,,,,,,,,
270,0,0,0.967741935483871,0.79,HbA1c_level <= 6.20,,,,,,,,,,,
271,0,0,0.9961832061068703,0.532,HbA1c_level <= 5.80,,,,,,,,,,,
272,0,0,0.9945652173913043,0.8029,blood_glucose_level <= 159.00,,,,,,,,,,,
273,1,1,0.34438156831042843,0.0011,HbA1c_level > 6.20,age > 59.00,bmi > 27.32,blood_glucose_level > 100.00,gender = 1.00,smoking_history = 2.00,smoking_history = 2.00,,,,,
274,0,0,0.9887005649717514,0.7875,HbA1c_level <= 6.20,,,,,,,,,,,
275,0,0,1,0.2989,HbA1c_level <= 4.80,,,,,,,,,,,
276,1,1,0.7967391304347826,0.0006,HbA1c_level > 6.20,age > 59.00,blood_glucose_level > 140.00,hypertension = 1.00,bmi > 29.52,gender = 1.00,hypertension = 1.00,gender = 1.00,smoking_history = 0.00,smoking_history = 0.00,,
277,0,0,0.9869281045751634,0.5338,HbA1c_level <= 5.80,,,,,,,,,,,
278,1,1,0.6013513513513513,0.0019,HbA1c_level > 6.20,blood_glucose_level > 159.00,age > 59.00,bmi > 23.52,gender = 1.00,smoking_history = 1.00,smoking_history = 1.00,gender = 1.00,,,,
279,0,0,1,0.5082,blood_glucose_level <= 140.00,,,,,,,,,,,
280,0,0,1,0.3042,HbA1c_level <= 4.80,,,,,,,,,,,
281,0,0,0.9887640449438202,0.7869,HbA1c_level <= 6.20,,,,,,,,,,,
282,0,0,0.9824561403508771,0.6704,bmi <= 27.32,,,,,,,,,,,
283,0,0,0.9920634920634921,0.2723,blood_glucose_level <= 100.00,,,,,,,,,,,
284,0,0,0.9775280898876404,0.7922,HbA1c_level <= 6.20,,,,,,,,,,,
285,1,1,0.5793103448275863,0.0012,blood_glucose_level > 159.00,HbA1c_level > 6.20,age > 42.00,bmi > 29.52,smoking_history = 2.00,smoking_history = 2.00,gender = 0.00,,,,,
286,0,0,0.979757085020243,0.5192,blood_glucose_level <= 140.00,,,,,,,,,,,
287,0,0,0.9649122807017544,0.8106,blood_glucose_level <= 159.00,,,,,,,,,,,
288,0,0,0.9868421052631579,0.4992,age <= 42.00,,,,,,,,,,,
289,0,0,0.9726775956284153,0.8115,blood_glucose_level <= 159.00,,,,,,,,,,,
290,0,0,0.9831460674157303,0.8142,blood_glucose_level <= 159.00,,,,,,,,,,,
291,0,0,0.9911111111111112,0.277,blood_glucose_level <= 100.00,,,,,,,,,,,
292,0,0,0.9900990099009901,1,,,,,,,,,,,,
293,0,0,0.9833333333333333,0.8166,blood_glucose_level <= 159.00,,,,,,,,,,,
294,0,0,0.9829545454545454,0.7929,HbA1c_level <= 6.20,,,,,,,,,,,
295,0,0,1,0.8044,blood_glucose_level <= 159.00,,,,,,,,,,,
296,0,0,1,0.8169,blood_glucose_level <= 159.00,,,,,,,,,,,
297,0,0,1,0.3,HbA1c_level <= 4.80,,,,,,,,,,,
298,0,0,0.9936708860759493,0.5387,HbA1c_level <= 5.80,,,,,,,,,,,
299,0,0,0.9932432432432432,0.5342,HbA1c_level <= 5.80,,,,,,,,,,,
300,0,0,1,0.3034,HbA1c_level <= 4.80,,,,,,,,,,,
301,0,0,0.9931506849315068,0.5104,blood_glucose_level <= 140.00,,,,,,,,,,,
302,0,0,1,0.3089,HbA1c_level <= 4.80,,,,,,,,,,,
303,0,0,1,0.3068,HbA1c_level <= 4.80,,,,,,,,,,,
304,0,0,0.9955947136563876,0.3008,HbA1c_level <= 4.80,,,,,,,,,,,
305,0,0,1,0.2847,blood_glucose_level <= 100.00,,,,,,,,,,,
306,0,0,0.9938650306748467,0.276,blood_glucose_level <= 100.00,,,,,,,,,,,
307,0,0,0.9782608695652174,0.8131,blood_glucose_level <= 159.00,,,,,,,,,,,
308,1,0,0.9681274900398407,0.5083,blood_glucose_level <= 140.00,,,,,,,,,,,
309,0,0,0.9920318725099602,0.5316,HbA1c_level <= 5.80,,,,,,,,,,,
310,0,0,0.9772727272727273,0.7524,bmi <= 29.52,,,,,,,,,,,
311,0,0,0.9933333333333333,0.5127,blood_glucose_level <= 140.00,,,,,,,,,,,
