,y_true,y_pred,precision,coverage,a0,a1,a2,a3
107,1,0,0.4583963691376702,0.1882,fixed_acidity > 13.12,alcohol <= 12.60,,
129,0,1,0.5318877551020408,0.1864,alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density <= 1.00,
182,0,0,0.5685240963855421,0.1833,alcohol > 11.00,residual_sugar <= 7.55,density > 0.99,
733,1,0,0.5815217391304348,0.1816,alcohol > 11.00,residual_sugar <= 7.55,density > 0.99,
944,0,0,0.3943452380952381,0.1809,density > 1.00,residual_sugar <= 11.50,,
985,2,0,0.5674822415153907,0.1782,alcohol > 11.00,residual_sugar <= 7.55,density > 0.99,
300,1,1,0.6111493461803166,0.1546,residual_sugar > 7.55,alcohol <= 11.00,fixed_acidity <= 13.12,density <= 1.00
812,2,1,0.6021297192642788,0.1464,alcohol <= 11.00,residual_sugar > 7.55,fixed_acidity <= 13.12,density > 0.99
217,0,0,0.5453774385072095,0.1457,fixed_acidity > 13.12,residual_sugar <= 11.50,alcohol > 9.50,
762,2,2,0.5071428571428571,0.1449,alcohol <= 11.00,7.10 < fixed_acidity <= 10.40,,
350,0,0,0.5072372561359345,0.1418,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,density > 0.99,fixed_acidity > 10.40
764,2,1,0.4231418918918919,0.1396,fixed_acidity <= 13.12,0.99 < density <= 1.00,residual_sugar > 4.10,
750,0,0,0.4977228366948601,0.1391,residual_sugar <= 11.50,fixed_acidity <= 7.10,alcohol > 9.50,
99,1,2,0.43758300132802125,0.1388,alcohol <= 11.00,residual_sugar <= 11.50,density <= 1.00,fixed_acidity > 7.10
118,2,1,0.43765281173594134,0.1363,alcohol <= 9.50,0.99 < density <= 1.00,,
560,0,0,0.4774509803921569,0.1356,alcohol > 9.50,residual_sugar <= 11.50,fixed_acidity <= 7.10,
428,1,1,0.46216530849825377,0.135,alcohol <= 12.60,fixed_acidity <= 13.12,density > 1.00,
744,1,0,0.4190894130554032,0.1347,alcohol > 9.50,fixed_acidity <= 7.10,density <= 1.00,
154,0,0,0.4407939767282683,0.1339,alcohol > 9.50,fixed_acidity <= 7.10,density <= 1.00,
353,2,0,0.42070484581497797,0.1321,residual_sugar <= 11.50,density > 1.00,fixed_acidity > 10.40,alcohol <= 12.60
674,2,0,0.4012096774193548,0.1299,fixed_acidity > 10.40,residual_sugar <= 11.50,alcohol <= 12.60,density > 1.00
553,2,2,0.49870354364736386,0.1299,residual_sugar > 11.50,density <= 1.00,,
711,0,0,0.3779697624190065,0.1297,fixed_acidity <= 7.10,density <= 1.00,,
779,1,1,0.48600143575017946,0.1296,alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,density <= 1.00,
709,2,0,0.5267727930535456,0.1291,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,density > 1.00,
742,2,0,0.5283505154639175,0.1279,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,,
61,0,1,0.5291891891891892,0.1274,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density > 0.99,
769,0,0,0.6027397260273972,0.1268,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 10.40,
964,2,2,0.5316011235955056,0.1265,residual_sugar > 11.50,density <= 1.00,,
710,0,0,0.6207366984993179,0.1261,alcohol > 11.00,residual_sugar <= 7.55,density > 1.00,
403,1,0,0.6011396011396012,0.1257,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,fixed_acidity > 10.40,
899,1,0,0.597037037037037,0.1256,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,fixed_acidity > 10.40,
668,1,1,0.4808338937457969,0.1251,7.10 < fixed_acidity <= 13.12,alcohol <= 11.00,density <= 1.00,
114,1,0,0.5415407854984894,0.1246,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,,
971,0,0,0.5484949832775919,0.1242,9.50 < alcohol <= 12.60,fixed_acidity > 13.12,,
48,0,0,0.6057479734708917,0.1238,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 10.40,
723,0,0,0.6056860321384425,0.1236,alcohol > 11.00,4.10 < residual_sugar <= 11.50,fixed_acidity <= 10.40,
160,1,0,0.3550465282748747,0.1231,fixed_acidity <= 7.10,density > 1.00,,
869,1,2,0.518942731277533,0.1226,residual_sugar > 11.50,density <= 1.00,,
807,1,1,0.44584717607973423,0.1226,alcohol <= 9.50,density > 1.00,,
993,0,0,0.36779324055666,0.1225,fixed_acidity <= 7.10,density > 1.00,,
144,2,0,0.5944444444444444,0.1221,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,fixed_acidity > 10.40,
492,1,0,0.5963923337091319,0.1207,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,fixed_acidity > 10.40,
831,2,0,0.6188340807174888,0.1198,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,fixed_acidity > 10.40,
748,1,1,0.45338737695425596,0.1195,residual_sugar > 7.55,fixed_acidity > 10.40,density > 1.00,
531,1,0,0.6132135984605517,0.1145,alcohol > 11.00,4.10 < residual_sugar <= 7.55,,
638,1,0,0.6032045240339302,0.1139,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity <= 10.40,
218,2,2,0.5173745173745173,0.1128,residual_sugar > 7.55,fixed_acidity > 13.12,,
957,0,0,0.5216572504708098,0.1088,residual_sugar <= 4.10,9.50 < alcohol <= 12.60,fixed_acidity > 7.10,
31,0,0,0.48507042253521127,0.1069,alcohol > 9.50,residual_sugar <= 11.50,fixed_acidity <= 7.10,density <= 1.00
285,0,1,0.5061058344640434,0.1057,alcohol <= 11.00,fixed_acidity <= 13.12,0.99 < density <= 1.00,
156,1,1,0.6008744534665834,0.1043,residual_sugar > 7.55,alcohol <= 11.00,fixed_acidity <= 13.12,density <= 1.00
436,1,0,0.6147416413373861,0.1042,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,
830,0,1,0.6015544041450778,0.104,alcohol <= 9.50,residual_sugar > 7.55,fixed_acidity <= 13.12,
524,0,0,0.5174418604651163,0.104,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,density > 1.00,fixed_acidity > 7.10
289,1,1,0.6155391828533154,0.1035,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,fixed_acidity <= 13.12,
974,2,1,0.4695759065765212,0.1034,alcohol <= 9.50,residual_sugar > 4.10,density > 0.99,fixed_acidity > 7.10
419,1,1,0.6024844720496895,0.1031,alcohol <= 11.00,residual_sugar > 11.50,fixed_acidity <= 13.12,
175,0,2,0.5639386189258312,0.1029,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 1.00
562,1,2,0.5163793103448275,0.1019,alcohol <= 11.00,residual_sugar <= 7.55,fixed_acidity > 7.10,0.99 < density <= 1.00
286,1,2,0.5673940949935815,0.1019,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 1.00
865,1,2,0.5061728395061729,0.1017,residual_sugar > 7.55,alcohol > 11.00,fixed_acidity > 10.40,density > 0.99
471,1,1,0.4603174603174603,0.101,alcohol <= 11.00,fixed_acidity <= 13.12,1.00 < density <= 1.00,
434,1,1,0.6187542778918549,0.1009,alcohol <= 9.50,residual_sugar > 7.55,fixed_acidity <= 13.12,
47,0,1,0.581670362158167,0.1009,7.55 < residual_sugar <= 11.50,alcohol <= 12.60,density > 1.00,
338,2,2,0.5064638783269962,0.1004,alcohol <= 11.00,residual_sugar <= 7.55,density <= 1.00,fixed_acidity > 10.40
134,2,0,0.5840236686390533,0.0989,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 10.40,
388,0,0,0.63718820861678,0.0988,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 13.12,
992,0,2,0.43962848297213625,0.0973,alcohol <= 11.00,residual_sugar <= 11.50,0.99 < density <= 1.00,
162,1,1,0.5851581508515815,0.0973,7.55 < residual_sugar <= 11.50,7.10 < fixed_acidity <= 13.12,density <= 1.00,
516,2,2,0.39413447782546496,0.0964,alcohol > 12.60,residual_sugar > 4.10,density > 1.00,
54,0,1,0.5743944636678201,0.0958,residual_sugar > 7.55,alcohol <= 11.00,fixed_acidity > 7.10,0.99 < density <= 1.00
879,1,0,0.5558739255014327,0.0954,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,density > 1.00,fixed_acidity > 10.40
640,1,1,0.6584821428571429,0.0945,residual_sugar > 7.55,alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00
579,1,1,0.6188780053428317,0.0939,9.50 < alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,
209,2,2,0.4706755753526355,0.0935,alcohol <= 9.50,residual_sugar <= 11.50,density <= 1.00,
619,0,0,0.4364060676779463,0.0933,fixed_acidity > 13.12,alcohol <= 12.60,density <= 1.00,
773,2,1,0.5630944831959417,0.0932,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,
996,2,2,0.624712202609363,0.0919,alcohol <= 9.50,residual_sugar <= 7.55,fixed_acidity <= 13.12,
391,2,2,0.444888178913738,0.0919,alcohol > 12.60,fixed_acidity > 7.10,0.99 < density <= 1.00,
677,0,1,0.5277280858676208,0.0915,10.40 < fixed_acidity <= 13.12,9.50 < alcohol <= 12.60,density > 0.99,
950,2,0,0.4601226993865031,0.0914,fixed_acidity > 13.12,alcohol <= 12.60,density > 1.00,
237,2,0,0.5196347031963471,0.0911,residual_sugar <= 7.55,alcohol > 9.50,density > 1.00,
165,1,1,0.4492753623188406,0.088,alcohol <= 9.50,0.99 < density <= 1.00,fixed_acidity > 7.10,
170,0,0,0.5866099893730075,0.0861,alcohol > 11.00,7.10 < fixed_acidity <= 10.40,residual_sugar > 4.10,
698,0,1,0.5912518853695324,0.0816,residual_sugar > 7.55,alcohol <= 9.50,fixed_acidity <= 13.12,density <= 1.00
465,2,1,0.6393129770992366,0.0811,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,fixed_acidity <= 13.12,density > 0.99
342,2,1,0.6050482553823311,0.0802,residual_sugar > 7.55,alcohol <= 12.60,fixed_acidity <= 13.12,0.99 < density <= 1.00
116,2,2,0.5732870771899393,0.0797,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 10.40,
126,0,0,0.5434646654158849,0.0782,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 10.40,density > 0.99
477,2,2,0.653924914675768,0.077,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 7.10,density > 0.99
60,1,0,0.4861751152073733,0.0756,alcohol > 9.50,residual_sugar <= 11.50,fixed_acidity <= 7.10,0.99 < density <= 1.00
425,0,0,0.6049586776859505,0.0748,fixed_acidity > 13.12,residual_sugar <= 11.50,9.50 < alcohol <= 12.60,density <= 1.00
480,1,1,0.589585172109444,0.0741,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,density > 0.99
329,1,1,0.6112198303979126,0.0737,9.50 < alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,density <= 1.00
781,1,1,0.5507007419620775,0.0732,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,density > 0.99
92,0,1,0.6106983655274889,0.0732,9.50 < alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,density <= 1.00
981,2,2,0.555052790346908,0.0728,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00
883,1,0,0.5984555984555985,0.0728,alcohol > 9.50,residual_sugar <= 7.55,fixed_acidity <= 7.10,density > 0.99
940,1,1,0.44294003868471954,0.0726,alcohol <= 9.50,0.99 < density <= 1.00,,
100,1,1,0.6123188405797102,0.072,7.55 < residual_sugar <= 11.50,alcohol <= 12.60,density <= 1.00,fixed_acidity <= 13.12
816,0,0,0.4732888146911519,0.0716,alcohol > 9.50,fixed_acidity <= 7.10,residual_sugar <= 11.50,density > 1.00
658,0,1,0.6788218793828892,0.0716,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,,
861,0,0,0.4932330827067669,0.0713,alcohol > 9.50,residual_sugar <= 11.50,fixed_acidity <= 7.10,0.99 < density <= 1.00
580,1,0,0.6209952283571916,0.0713,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 13.12,density <= 1.00
541,1,1,0.7169143665958952,0.0713,residual_sugar > 7.55,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density > 0.99
782,2,2,0.4368932038834951,0.0699,alcohol <= 11.00,0.99 < density <= 1.00,fixed_acidity > 7.10,residual_sugar <= 11.50
897,2,2,0.43846153846153846,0.0687,alcohol <= 11.00,density <= 0.99,fixed_acidity > 7.10,residual_sugar <= 11.50
472,1,1,0.7305164319248826,0.0687,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,
413,2,2,0.4936102236421725,0.0687,alcohol <= 9.50,residual_sugar <= 11.50,0.99 < density <= 1.00,fixed_acidity <= 13.12
511,1,1,0.6621490803484995,0.0686,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,,
279,2,2,0.5997666277712952,0.0682,alcohol <= 11.00,residual_sugar <= 4.10,fixed_acidity > 7.10,density > 0.99
124,1,1,0.7399497487437185,0.0681,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,
20,2,1,0.545751633986928,0.0674,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,0.99 < density <= 1.00,
327,0,1,0.6860739575137687,0.0672,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,fixed_acidity > 7.10,density <= 1.00
440,2,2,0.5813793103448276,0.0662,alcohol <= 11.00,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 1.00
254,0,0,0.5833333333333334,0.0659,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 10.40,density > 1.00
341,2,2,0.4105960264900662,0.0655,alcohol > 12.60,fixed_acidity > 7.10,density <= 1.00,residual_sugar > 4.10
50,1,0,0.7135989010989011,0.0655,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 10.40,
938,2,2,0.6508250825082508,0.0649,alcohol > 12.60,residual_sugar > 7.55,fixed_acidity > 10.40,
845,0,0,0.8158995815899581,0.0646,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity <= 7.10,
481,2,0,0.582639714625446,0.0642,residual_sugar <= 7.55,alcohol > 9.50,fixed_acidity <= 7.10,density <= 1.00
904,1,1,0.43621943159286186,0.0641,alcohol <= 9.50,density <= 0.99,,
760,2,2,0.5223033252230332,0.0627,alcohol <= 9.50,fixed_acidity > 13.12,,
10,0,0,0.5187768240343348,0.0626,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,density <= 1.00,
986,1,2,0.5117618819011042,0.0623,alcohol <= 9.50,fixed_acidity > 13.12,,
333,0,2,0.712784588441331,0.0623,residual_sugar > 11.50,alcohol > 12.60,,
298,2,2,0.7070921985815602,0.0623,residual_sugar > 11.50,fixed_acidity > 13.12,,
274,0,0,0.5955882352941176,0.0623,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,density > 1.00,fixed_acidity > 10.40
79,1,2,0.6960408684546615,0.062,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,
377,0,1,0.4564369310793238,0.0619,alcohol <= 9.50,1.00 < density <= 1.00,,
701,1,1,0.4583676834295136,0.0614,residual_sugar > 7.55,fixed_acidity > 10.40,density > 1.00,
867,2,2,0.5341530054644809,0.0613,residual_sugar > 7.55,alcohol > 11.00,fixed_acidity > 10.40,0.99 < density <= 1.00
952,1,0,0.7848360655737705,0.0608,alcohol > 11.00,residual_sugar <= 7.55,fixed_acidity <= 7.10,
835,1,1,0.5607353906762967,0.0602,residual_sugar > 7.55,alcohol <= 9.50,fixed_acidity > 10.40,
529,0,1,0.4966524650030432,0.0602,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,density <= 1.00,
320,2,1,0.5318681318681319,0.0601,9.50 < alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,0.99 < density <= 1.00,
188,1,1,0.5641410352588146,0.0594,7.55 < residual_sugar <= 11.50,10.40 < fixed_acidity <= 13.12,,
293,2,2,0.5638665132336018,0.059,alcohol <= 9.50,residual_sugar <= 11.50,fixed_acidity > 10.40,density > 0.99
332,2,1,0.6079797340088664,0.0589,residual_sugar > 7.55,alcohol <= 9.50,fixed_acidity <= 13.12,0.99 < density <= 1.00
813,1,2,0.7163009404388715,0.0585,residual_sugar > 11.50,fixed_acidity > 13.12,,
656,0,2,0.5227754237288136,0.0585,residual_sugar > 11.50,density <= 0.99,,
868,1,1,0.5080645161290323,0.0582,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,density <= 1.00,
411,0,0,0.7434782608695653,0.0578,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,fixed_acidity > 13.12,density > 0.99
294,2,1,0.5003265839320705,0.0578,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,density > 1.00,
606,1,0,0.5187772925764192,0.0577,fixed_acidity > 13.12,9.50 < alcohol <= 12.60,density <= 1.00,
571,1,1,0.8402777777777778,0.0577,10.40 < fixed_acidity <= 13.12,residual_sugar > 7.55,alcohol <= 11.00,
4,1,1,0.6030259365994236,0.0577,alcohol <= 11.00,residual_sugar > 11.50,fixed_acidity > 10.40,
109,1,0,0.7225296442687748,0.0575,11.00 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 7.10,
951,0,2,0.6644736842105263,0.0573,alcohol <= 11.00,residual_sugar <= 4.10,7.10 < fixed_acidity <= 13.12,
797,1,1,0.5892351274787535,0.0573,7.55 < residual_sugar <= 11.50,10.40 < fixed_acidity <= 13.12,,
78,0,0,0.6086956521739131,0.0571,9.50 < alcohol <= 12.60,residual_sugar <= 4.10,fixed_acidity > 10.40,density > 0.99
959,1,1,0.6109375,0.0569,residual_sugar > 11.50,alcohol <= 11.00,fixed_acidity <= 13.12,density <= 1.00
204,1,0,0.5578181818181818,0.0567,residual_sugar <= 4.10,9.50 < alcohol <= 12.60,density > 1.00,fixed_acidity > 7.10
316,2,2,0.48198757763975153,0.0562,10.40 < fixed_acidity <= 13.12,residual_sugar <= 4.10,density <= 1.00,
140,1,2,0.4560224089635854,0.0561,density > 1.00,7.10 < fixed_acidity <= 10.40,alcohol <= 12.60,residual_sugar <= 7.55
825,1,1,0.6213114754098361,0.056,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,density <= 1.00,
530,1,0,0.7702702702702703,0.0557,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 13.12,
793,1,1,0.587018544935806,0.0556,11.00 < alcohol <= 12.60,4.10 < residual_sugar <= 11.50,fixed_acidity > 7.10,density > 1.00
540,1,1,0.48589894242068155,0.0556,alcohol <= 9.50,10.40 < fixed_acidity <= 13.12,,
441,1,2,0.6023622047244095,0.0556,alcohol <= 11.00,residual_sugar <= 4.10,fixed_acidity > 7.10,density <= 1.00
220,1,1,0.7890070921985816,0.0554,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity > 7.10,
854,2,1,0.5721500721500722,0.0543,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,0.99 < density <= 1.00
653,2,0,0.7492957746478873,0.0542,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 13.12,
348,0,0,0.8035714285714286,0.0542,11.00 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 13.12,
421,2,2,0.6513693560325685,0.0539,residual_sugar > 11.50,alcohol > 11.00,density <= 1.00,
216,1,1,0.5777777777777777,0.0537,residual_sugar > 7.55,alcohol <= 9.50,fixed_acidity <= 13.12,density <= 1.00
205,1,1,0.7551652892561983,0.0529,residual_sugar > 11.50,alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,density <= 1.00
610,2,1,0.7340889276373147,0.0524,residual_sugar > 11.50,alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,density <= 1.00
706,0,2,0.6163009404388715,0.052,alcohol <= 9.50,residual_sugar <= 7.55,fixed_acidity <= 13.12,0.99 < density <= 1.00
431,1,0,0.6787003610108303,0.052,11.00 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 10.40,density > 0.99
907,2,1,0.5662393162393162,0.0517,4.10 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity > 10.40,density > 0.99
621,1,1,0.6010028653295129,0.0516,9.50 < alcohol <= 11.00,residual_sugar > 4.10,7.10 < fixed_acidity <= 13.12,density > 1.00
557,1,1,0.6648936170212766,0.0516,7.55 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,density > 0.99,
191,1,1,0.7693099897013388,0.0515,residual_sugar > 11.50,alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,density <= 1.00
616,1,1,0.5730442978322338,0.0513,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,0.99 < density <= 1.00
789,0,1,0.740228013029316,0.0512,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density > 0.99
302,1,2,0.7398589065255732,0.0511,alcohol <= 9.50,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 1.00
64,1,0,0.5124677558039553,0.0511,alcohol > 12.60,7.10 < fixed_acidity <= 13.12,residual_sugar > 7.55,density > 0.99
982,0,0,0.5224856909239575,0.051,residual_sugar <= 7.55,9.50 < alcohol <= 12.60,density <= 0.99,fixed_acidity > 7.10
198,0,1,0.49360795454545453,0.051,7.55 < residual_sugar <= 11.50,fixed_acidity <= 13.12,density > 1.00,
837,1,1,0.7053103964098728,0.0508,residual_sugar > 7.55,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density <= 1.00
474,0,2,0.49083665338645416,0.0505,alcohol <= 9.50,residual_sugar <= 11.50,0.99 < density <= 1.00,
567,1,1,0.6109036594473488,0.0504,residual_sugar > 7.55,alcohol <= 11.00,fixed_acidity <= 13.12,1.00 < density <= 1.00
228,0,0,0.6475409836065574,0.0504,4.10 < residual_sugar <= 7.55,fixed_acidity > 13.12,alcohol <= 12.60,
737,2,2,0.7355371900826446,0.0502,residual_sugar > 11.50,alcohol > 12.60,density > 0.99,
397,1,2,0.5982142857142857,0.0502,residual_sugar > 11.50,fixed_acidity > 7.10,density > 1.00,
304,2,2,0.7183544303797469,0.0501,residual_sugar > 11.50,alcohol > 12.60,density > 0.99,
233,1,1,0.7164310954063604,0.05,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density <= 1.00
931,1,1,0.5048255382331106,0.0497,10.40 < fixed_acidity <= 13.12,alcohol <= 12.60,0.99 < density <= 1.00,
318,0,2,0.6132478632478633,0.0494,alcohol <= 11.00,residual_sugar <= 4.10,fixed_acidity > 10.40,density <= 1.00
702,0,0,0.5243991260014567,0.0493,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,0.99 < density <= 1.00,fixed_acidity > 10.40
201,1,1,0.7346189164370982,0.0493,7.55 < residual_sugar <= 11.50,9.50 < alcohol <= 12.60,7.10 < fixed_acidity <= 13.12,density <= 1.00
488,2,1,0.5475740390674229,0.049,alcohol <= 9.50,fixed_acidity <= 13.12,residual_sugar > 4.10,0.99 < density <= 1.00
726,1,1,0.6195840554592721,0.0486,9.50 < alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,residual_sugar > 4.10,0.99 < density <= 1.00
976,2,2,0.5331476323119777,0.0485,residual_sugar > 11.50,density > 1.00,fixed_acidity > 7.10,
724,1,1,0.5927342256214149,0.0485,4.10 < residual_sugar <= 11.50,11.00 < alcohol <= 12.60,fixed_acidity > 10.40,density <= 1.00
796,0,2,0.5426356589147286,0.0484,residual_sugar > 11.50,density > 1.00,fixed_acidity > 7.10,
617,2,1,0.6625672559569562,0.0481,alcohol <= 9.50,residual_sugar > 11.50,fixed_acidity <= 13.12,density > 0.99
839,0,0,0.42214357937310415,0.048,alcohol > 9.50,fixed_acidity <= 7.10,density <= 0.99,
543,1,1,0.6907131011608624,0.048,residual_sugar > 7.55,alcohol <= 9.50,7.10 < fixed_acidity <= 13.12,density <= 1.00
577,2,2,0.6458333333333334,0.0475,alcohol <= 11.00,residual_sugar <= 4.10,fixed_acidity > 7.10,0.99 < density <= 1.00
691,1,1,0.5426356589147286,0.0474,7.10 < fixed_acidity <= 13.12,11.00 < alcohol <= 12.60,density <= 1.00,residual_sugar <= 11.50
396,2,2,0.731996353691887,0.0473,alcohol <= 9.50,residual_sugar <= 7.55,7.10 < fixed_acidity <= 13.12,density <= 1.00
740,1,1,0.6165919282511211,0.0467,11.00 < alcohol <= 12.60,4.10 < residual_sugar <= 11.50,7.10 < fixed_acidity <= 13.12,density > 0.99
96,2,1,0.6507731958762887,0.0466,residual_sugar > 11.50,alcohol <= 9.50,fixed_acidity <= 13.12,density > 0.99
498,1,1,0.5042808219178082,0.0465,7.55 < residual_sugar <= 11.50,density > 1.00,alcohol > 9.50,
248,2,2,0.7997762863534675,0.0465,residual_sugar > 11.50,alcohol > 11.00,fixed_acidity > 10.40,density <= 1.00
795,0,0,0.47168554297135246,0.0463,fixed_acidity > 13.12,alcohol <= 12.60,0.99 < density <= 1.00,
415,1,1,0.7144856543037089,0.0462,residual_sugar > 7.55,alcohol <= 12.60,10.40 < fixed_acidity <= 13.12,density > 1.00
